Cluster,DM,log(age),[Fe/H],E(B−V),Memb,RA,Dec
Hyades,3.389,8.9,0.13,0.001,480.0,66.725,15.86667
Coma Ber,4.669,8.81,0.0,0.0,127.0,186.74583333,23.90416667
Pleiades,5.667000000000001,8.04,-0.01,0.045,1059.0,56.75,24.11666667
IC 2391,5.9079999999999995,7.7,-0.01,0.03,254.0,130.13333333,-53.03333333
IC 2602,5.914,7.6,-0.02,0.031,391.0,160.74166667,-64.4
alpha Per,6.2139999999999995,7.85,0.14,0.09,598.0,51.08070872,49.86117929
Praesepe,6.35,8.85,0.16,0.027000000000000003,771.0,130.1,19.66666667
NGC 2451A,6.433,7.78,-0.08,0.0,311.0,115.8,-38.4
Blanco 1,6.876,8.06,0.03,0.01,361.0,1.02916667,-29.83333333
NGC 6475,7.234,8.54,0.02,0.049,874.0,268.4923,-34.8042
NGC 7092,7.39,8.54,0.0,0.01,248.0,323.0512,48.4444
NGC 6774,7.455,9.3,0.16,0.08,165.0,289.1591,-16.2714
NGC 2232,7.575,7.7,0.11,0.031,241.0,96.684,-4.7325
NGC 2547,7.98,7.6,-0.14,0.04,404.0,122.6594,-49.2583
NGC 2516,8.091000000000001,8.48,0.05,0.071,1727.0,119.5533,-60.8686
Trumpler 10,8.222999999999999,7.78,-0.12,0.055999999999999994,407.0,131.975,-42.45
NGC 752,8.264,9.15,-0.03,0.04,259.0,29.4479,37.6714
NGC 6405,8.32,7.9,0.07,0.139,544.0,265.0079,-32.2126
IC 4756,8.401,8.98,0.02,0.128,515.0,279.63,5.49
NGC 3532,8.43,8.6,0.0,0.022000000000000002,1802.0,166.6171,-58.6687
NGC 2422,8.436,8.11,0.09,0.09,572.0,114.1377,-14.4733
NGC 1039,8.552,8.4,0.02,0.077,497.0,40.5036,42.7728
NGC 6281,8.638,8.48,0.06,0.13,534.0,256.2006,-37.8837
NGC 6793,8.894,8.78,0.272,271.0,,290.7926,22.1824
NGC 2548,9.451,8.74,0.08,0.02,374.0,123.4087,-5.793
NGC 6025,9.513,8.18,0.17,431.0,,240.9098,-60.5016
NGC 2682,9.726,9.54,0.03,0.037000000000000005,1194.0,132.7669,11.8058
IC 4651,9.889,9.3,0.12,0.04,932.0,261.20416667,-49.93333333
NGC 2323,10.01,8.3,0.105,372.0,,105.7258,-8.3374
NGC 2447,10.088,8.74,-0.05,0.034,681.0,116.1401,-23.8777
NGC 2360,10.229,8.98,-0.03,0.09,848.0,109.4087,-15.6459
NGC 188,11.49,9.74,0.11,0.085,956.0,11.1104,85.3366
