NGC DM Age(Gyr) [Fe/H] E(B−V) Memb
104 13.266 12.751 -0.72 0.04 21580
288 14.747 12.501 -1.31 0.03 1953
362 14.672 11.501 -1.26 0.05 1737
1851 15.414 13.303 -1.18 0.02 744
5272 15.043 12.602 -1.50 0.01 9086
5904 14.375 12.251 -1.29 0.03 3476
6205 14.256 13.001 -1.53 0.02 10311
6218 13.406 13.251 -1.37 0.19 3127
6341 14.595 13.251 -2.31 0.02 1432
6397 11.920 13.501 -2.02 0.18 10055
6656 12.526 12.863 -1.70 0.35 9542
6752 13.010 12.501 -1.54 0.04 10779
6809 13.662 13.501 -1.94 0.08 8073
7099 14.542 13.251 -2.27 0.03 1016
