              SourceId,  Cluster,         ra,        dec,     Gmag
    573550482464869248,  NGC 188,   11.62916,   84.77862,   18.198
    573551685055772544,  NGC 188,   12.51558,   84.84479,   19.199
    573570857788817024,  NGC 188,    9.11054,   85.11362,   19.262
    573545706461139456,  NGC 188,   10.38709,   84.69476,   19.873
    573620541970521856,  NGC 188,    6.11274,   85.16839,   18.966
    573571171321808512,  NGC 188,    8.52979,   85.13452,   17.548
    573575397572493312,  NGC 188,    7.13852,   85.19899,   15.049
    573569380321102464,  NGC 188,    9.12236,   85.02535,   18.086
    573574607298514560,  NGC 188,    7.31914,   85.13018,   15.369
    573571205684417920,  NGC 188,    8.66159,   85.14448,   17.852
    573573885744009984,  NGC 188,    7.96152,   85.13324,   10.051
    573570376752441728,  NGC 188,    8.85963,   85.07817,   19.528
    573570621568869760,  NGC 188,    8.51381,   85.09098,   15.641
    573619824714070912,  NGC 188,    6.39481,   85.11546,   19.539
    573620065232233472,  NGC 188,    6.14282,   85.14269,   16.298
    573545534662757504,  NGC 188,   10.73285,   84.68280,   19.531
    573570003093582592,  NGC 188,    9.53498,   85.07687,   17.270
    573555430267280896,  NGC 188,   10.36078,   84.91808,   18.999
    573621400963999232,  NGC 188,    5.81334,   85.19135,   19.583
    573554502554320256,  NGC 188,   10.79158,   84.87523,   19.247
    573573370347796096,  NGC 188,    6.87707,   85.13585,   16.600
    573559450356549376,  NGC 188,    8.11093,   84.79032,   19.376
    573543610517133952,  NGC 188,   12.00745,   84.70582,   19.450
    573566597181539712,  NGC 188,    6.85466,   85.01934,   19.810
    573552475329793152,  NGC 188,   12.26454,   84.90723,   16.799
    573557564868307584,  NGC 188,   10.32170,   84.99321,   17.029
    573561202703302912,  NGC 188,    9.08604,   84.90021,   18.263
    573566597181160960,  NGC 188,    6.85214,   85.02717,   19.636
    573565428955444864,  NGC 188,    7.94002,   84.98302,   19.752
    573562169073257216,  NGC 188,    8.40670,   84.91423,   17.591
    573564299376908544,  NGC 188,    6.90026,   84.93161,   17.279
    573556254901018112,  NGC 188,   10.79557,   84.93821,   19.336
    573555468924280192,  NGC 188,   10.34873,   84.93008,   14.943
    573557221270929408,  NGC 188,   10.05140,   84.96201,   15.831
    573556602795639168,  NGC 188,   11.07752,   84.97765,   15.649
    573566872060140416,  NGC 188,    9.60303,   84.90334,   19.725
    573566979436633216,  NGC 188,    9.52007,   84.91677,   18.245
    573565501967863680,  NGC 188,    7.63274,   84.98081,   14.839
    573561207000590464,  NGC 188,    9.12869,   84.89331,   18.227
    573569315898823936,  NGC 188,    9.36030,   85.00703,   16.913
    573554987887950208,  NGC 188,   10.21001,   84.89649,   17.528
    573555503284019712,  NGC 188,   10.26647,   84.92438,   16.270
    573574126262177920,  NGC 188,    8.33924,   85.14566,   18.476
    573556396637219328,  NGC 188,   11.28849,   84.93366,   15.355
    573556156119051648,  NGC 188,   10.85411,   84.92074,   17.835
    573569728215680384,  NGC 188,    9.92616,   85.05259,   14.879
    573556804656853376,  NGC 188,   11.03834,   84.98136,   17.974
    573569453337775616,  NGC 188,    9.49476,   85.02593,   15.815
    573547561887090944,  NGC 188,   10.39030,   84.77728,   19.831
    573565295809437568,  NGC 188,    7.93242,   84.96144,   16.754
    573571682422459264,  NGC 188,    7.72752,   85.04594,   19.607
    573557942825421312,  NGC 188,   10.19132,   85.04972,   19.278
    573557560571095936,  NGC 188,   10.42601,   84.98747,   18.054
    573561992977291648,  NGC 188,    8.67773,   84.91488,   19.827
    573567563552175104,  NGC 188,    9.79432,   84.97376,   16.046
    573610959901614080,  NGC 188,    6.45643,   84.91238,   15.760
    573556637152547328,  NGC 188,   11.12061,   84.98510,   19.999
    573567323034007552,  NGC 188,    9.08174,   84.95296,   18.053
    573572541415930112,  NGC 188,    7.14141,   85.06313,   18.171
    573570720349837568,  NGC 188,    9.07425,   85.08960,   16.735
    573620370172099712,  NGC 188,    6.55320,   85.14552,   19.725
    573546943411780096,  NGC 188,    9.69523,   84.76703,   19.577
    573619755994600192,  NGC 188,    6.65667,   85.09671,   17.055
    573563577822419840,  NGC 188,    7.15948,   84.85537,   17.027
    573570484129918720,  NGC 188,    8.40261,   85.06814,   15.713
    573555881241149440,  NGC 188,   11.20265,   84.90417,   16.741
    573552651425754240,  NGC 188,   11.78621,   84.86779,   17.227
    573559592092900096,  NGC 188,    8.23579,   84.81317,   19.264
    573559729531857920,  NGC 188,    8.65184,   84.80732,   19.925
    573549009293487360,  NGC 188,    9.93847,   84.83326,   14.878
    573559076696831104,  NGC 188,    8.88251,   84.80358,   18.327
    573573198549109248,  NGC 188,    7.03521,   85.11504,   19.976
    573569277241890816,  NGC 188,    9.68124,   85.03065,   19.185
    573570926508297600,  NGC 188,    8.95264,   85.11923,   18.140
    573570204954828800,  NGC 188,    8.73700,   85.04966,   17.364
    573557869808755200,  NGC 188,    9.95241,   85.03760,   19.722
    573574671719786624,  NGC 188,    7.47993,   85.14162,   17.346
    573570067516013312,  NGC 188,    9.28885,   85.09286,   18.784
