Cluster,Gmag,SourceId,dec,par,ra,spar
Hyades,12.860999999999999,49520255665123328,21.75372,20.866,64.87461,0.033
Hyades,5.79,49729231594420096,18.19388,21.789,60.20378,0.045
Hyades,12.57,51383893515451392,20.42805,22.737,59.80696,0.006
Hyades,6.99,145373377272257664,21.73605,23.109,66.06127,0.003
Hyades,5.643,145391484855481344,21.61972,19.968,67.00371,0.067
Hyades,8.639,145325548516513280,21.37893,19.878,65.8435,0.027000000000000003
Hyades,5.194,145484629809228544,22.1998,22.113000000000003,66.35475,0.094
Hyades,7.224,145293181643038336,21.470270000000003,20.666999999999998,66.57755999999999,0.04
Hyades,15.087,145293181643038208,21.46875,20.94,66.58044,0.024
Hyades,12.144,3313778207594395392,17.24172,21.732,66.81981999999999,0.022000000000000002
Hyades,16.365,3313751441358252160,17.05048,21.093000000000004,66.57982,0.121
Hyades,5.564,3313842529024545664,16.77715,20.52,65.85491,0.059000000000000004
Hyades,6.8389999999999995,3313947704182762240,17.07884,19.595,66.09325,0.017
Hyades,9.968,3313759000500605056,16.98479,18.257,66.25144,0.02
Hyades,4.724,3313978112552491136,17.44399,21.674,66.02450999999999,0.146
Hyades,6.627000000000001,3393284752392701312,15.9166,22.461,74.93506,0.03
Hyades,14.23,147022541634235392,23.94088,19.547,71.13217,0.03
Hyades,15.845,147118233505518976,24.60989,20.973000000000003,72.97270999999999,0.036000000000000004
Hyades,9.227,147182172683187712,24.80261,20.153,72.30451,0.016
Hyades,17.647000000000002,144512287869179136,20.98134,18.817,66.97162,0.045
Hyades,10.199,144377799556207488,21.15065,22.835,68.40541999999999,0.013999999999999999
Hyades,15.071,144338187075686016,20.73538,17.064,68.12299,0.099
Hyades,15.589,3238530414929634304,3.84038,21.598000000000003,75.82986,0.035
Hyades,14.024000000000001,3411274308810562688,20.718020000000003,17.408,69.27192,0.044000000000000004
Hyades,8.635,68001499939741440,23.69202,23.765,53.209419999999994,0.022000000000000002
Hyades,12.979000000000001,67696694700442624,22.78229,25.758000000000003,54.13098000000001,0.09
Hyades,5.308,3292227607891547264,7.870989999999999,20.305,69.77606999999999,0.08900000000000001
Hyades,15.502,3292367795624174720,8.438080000000001,23.628,70.43001,0.079
Hyades,14.102,3292367795624174592,8.43925,23.559,70.42948,0.034
Hyades,14.61,64552022725337856,22.0724,28.054000000000002,53.54486,0.049
Hyades,14.549000000000001,3273807936268126464,6.22792,18.430999999999997,59.81286,0.046
Hyades,14.828,3306443434245315200,12.10546,19.555999999999997,69.29168,0.046
Hyades,17.518,3306634646189021440,12.255510000000001,19.73,68.96611,0.006999999999999999
Hyades,14.404000000000002,3306588707218380288,12.20008,22.055999999999997,67.81745,0.013000000000000001
Hyades,4.188,3306483944376792832,12.510769999999999,22.866999999999997,69.53989,0.205
Hyades,13.764000000000001,3306592418070112384,12.06661,20.521,68.18961999999999,0.02
Hyades,12.458,148867315986268672,23.41806,23.085,65.48338000000001,0.017
Hyades,15.25,148792171240741120,23.19773,19.9,65.32064,0.040999999999999995
Hyades,9.16,148946068508277888,23.284489999999998,18.442999999999998,64.54541,0.044000000000000004
Hyades,7.882999999999999,149005270337201792,23.57474,21.846,63.63521,0.023
Hyades,17.086,57083830512424448,19.49635,24.71,55.22964,0.044000000000000004
Hyades,9.19,53942250914697472,23.768420000000003,21.064,62.15144,0.027000000000000003
Hyades,13.124,53825771402706304,23.42405,23.513,61.588119999999996,0.034
Hyades,8.415,49005581144118784,19.90654,21.274,64.74208,0.015
Hyades,14.774000000000001,49124190961270656,20.30261,26.671,65.41024,0.043
Hyades,13.977,48977371798954368,19.54417,23.267,64.76348,0.063
Hyades,14.369000000000002,3293856362569126400,9.99639,16.953,70.71766,0.004
Hyades,15.97,3287450745264292864,8.59136,22.721,66.40561,0.105
Hyades,15.239,3287587771900733440,9.18246,16.942999999999998,67.27415,0.17
Hyades,15.140999999999998,144833998098820992,21.73712,22.953000000000003,69.6813,0.031
Hyades,9.148,3283285795218796800,3.26885,26.943,65.26773,0.021
Hyades,15.665999999999999,3283238344419794304,3.25504,28.076999999999998,64.6817,0.013000000000000001
Hyades,12.793,3283324415564687104,3.6190300000000004,27.721999999999998,65.60495,0.049
Hyades,12.757,65103668325506560,23.343529999999998,24.006999999999998,55.4045,0.028999999999999998
Hyades,10.960999999999999,3413223227530503168,22.64708,17.987000000000002,73.19852,0.11599999999999999
Hyades,10.302999999999999,3413146914550583680,23.05074,18.202,71.85949000000001,0.039
Hyades,14.729000000000001,47319961098840192,17.41613,21.776999999999997,64.53806,0.044000000000000004
Hyades,9.03,47019347749289216,17.93759,21.846,61.415890000000005,0.038
Hyades,15.912,47345490384536576,17.57303,17.948,64.77452,0.151
Hyades,14.524000000000001,47247938791363200,19.02735,18.747,61.586459999999995,0.022000000000000002
Hyades,13.866,47109438983082496,18.40718,21.831,60.72186,0.02
Hyades,8.27,47345009348203392,17.52463,21.299,64.78388000000001,0.019
Hyades,11.894,47068207297219584,18.25076,25.476,61.51002,0.026000000000000002
Hyades,13.742,3293176074109393152,10.23297,18.967,71.90507,0.023
Hyades,14.997,3393305093357807744,15.914670000000001,23.02,75.01411,0.04
Hyades,16.632,3391006113328069632,15.58175,17.105,80.50666,0.022000000000000002
Hyades,15.544,3407257105639932032,17.69386,23.269000000000002,75.31324000000001,0.048
Hyades,15.527999999999999,3407395193133161728,18.80723,23.074,75.23048,0.042
Hyades,13.01,66286704180780672,25.21961,20.372,59.7278,0.023
Hyades,9.788,66482352830035840,23.90344,24.461,57.7637,0.006
Hyades,5.3660000000000005,3290872562889409024,9.82955,18.39,77.33211,0.174
Hyades,18.028,3282728853923029376,5.73262,21.264,71.06205,0.254
Hyades,11.955,3294522907134516864,10.719380000000001,19.219,73.09978000000001,0.026000000000000002
Hyades,10.898,3282171749421655168,4.66981,20.699,69.49309000000001,0.011000000000000001
Hyades,16.207,3406246551373367168,17.27199,16.319000000000003,71.25126999999999,0.059000000000000004
Hyades,16.171,3406246551373367296,17.27216,16.037,71.25147,0.125
Hyades,11.649000000000001,3405909374965722368,16.3884,20.758000000000003,72.12805,0.03
Hyades,10.982000000000001,3404798597640071296,14.9712,23.869,72.76053,0.188
Hyades,7.556,3404812685132622592,15.08335,20.958000000000002,72.6413,0.136
Hyades,7.76,3404850790082434176,15.43339,16.202,72.84702,0.023
Hyades,15.319,3405952363294872960,16.59814,18.784000000000002,71.38604000000001,0.057
Hyades,10.176,3405988677241799040,16.411939999999998,20.25,72.50335,0.013999999999999999
Hyades,14.786,3406094750050845696,17.03294,19.812,72.40278,0.023
Hyades,8.877,3311148828615843328,14.6704,21.451,65.88521,0.043
Hyades,10.93,3311492803955469696,14.39838,20.844,63.79388,0.023
Hyades,11.467,3311179340063437952,15.04129,21.005,66.52006,0.11599999999999999
Hyades,8.29,3311514210073309056,14.624970000000001,20.259,63.60736,0.068
Hyades,14.779000000000002,3311173120950799872,15.00247,21.215999999999998,66.46066,0.017
Hyades,14.713,3311179340062227200,15.0408,20.723000000000003,66.52037,0.10400000000000001
Hyades,13.772,3311464182294287104,14.54619,19.074,64.482,0.022000000000000002
Hyades,13.935,3311426420941869952,14.171320000000001,25.131999999999998,64.1065,0.019
Hyades,15.172,3311229745799686912,15.22812,20.809,65.75676999999999,0.05
Hyades,13.466,3311232425859274368,15.220170000000001,18.167,65.62765,0.027999999999999997
Hyades,15.158,3311120722349948672,14.8595,20.68,65.2341,0.06
Hyades,16.393,3406734906335151872,18.14104,21.445,72.70775,0.027000000000000003
Hyades,13.014000000000001,3406697179343851136,17.715329999999998,16.999000000000002,72.29651,0.023
Hyades,8.34,3406786445943961088,18.25858,20.721,71.90695,0.091
Hyades,12.04,146160558879786624,23.10849,18.688,66.33394,0.01
Hyades,14.943,146057617101593856,23.55483,19.68,68.2714,0.127
Hyades,15.743,149956519694104704,24.37685,19.723,63.70975,0.018000000000000002
Hyades,14.513,3289131211348832000,7.2757,18.779,70.44565,0.055
Hyades,12.66,3395542393360089728,18.40221,18.641,78.10085,0.047
Hyades,12.578,3395542393361639424,18.402279999999998,18.873,78.10043,0.063
Hyades,10.499,145664777917536512,22.118679999999998,21.828000000000003,66.03146,0.011000000000000001
Hyades,4.148,145727729254950912,22.81338,22.006999999999998,66.57743,0.069
Hyades,4.113,145674574739951872,22.29368,20.771,66.34284,0.249
Hyades,13.845,145668974102570624,22.181379999999997,23.151999999999997,65.98971999999999,0.05
Hyades,13.220999999999998,48455894049191424,18.72989,20.84,63.624790000000004,0.042
Hyades,14.995,48482454126911360,19.06384,19.105,63.68891,0.023
Hyades,14.219000000000001,48509186003340416,18.92897,19.738,62.77604,0.015
Hyades,8.097999999999999,45788547559850496,16.94773,21.33,64.41278,0.025
